experiment,metric,Algorithm,value,Entropy
dell,Density,Greedy,0.01,Features
dell,Density,Greedy,0.01,Features
dell,CC,Greedy,129,Features
dell,CC,Greedy,138,Features
dell,CNC,Greedy,4.05,Features
dell,CNC,Greedy,4.34,Features
dell,CFC,Greedy,127,Features
dell,CFC,Greedy,135,Features
dell,Quality,Greedy,31.03,Features
dell,Quality,Greedy,30.57,Features
dell,Density,Hierarchical,0.13,Features
dell,Density,Hierarchical,0.06,Features
dell,CC,Hierarchical,91,Features
dell,CC,Hierarchical,54,Features
dell,CNC,Hierarchical,3.9,Features
dell,CNC,Hierarchical,2.36,Features
dell,CFC,Hierarchical,86,Features
dell,CFC,Hierarchical,53,Features
dell,Quality,Hierarchical,19.72,Features
dell,Quality,Hierarchical,27.94,Features
dell,Density,Genetic,0.16,Features
dell,Density,Genetic,0.08,Features
dell,CC,Genetic,71,Features
dell,CC,Genetic,155,Features
dell,CNC,Genetic,3.8,Features
dell,CNC,Genetic,3.91,Features
dell,CFC,Genetic,65,Features
dell,CFC,Genetic,153,Features
dell,Quality,Genetic,14,Features
dell,Quality,Genetic,42.29,Features
dell,Density,Greedy,0.14,Transitions
dell,Density,Greedy,0.14,Transitions
dell,Density,Greedy,0.12,Transitions
dell,Density,Greedy,0.13,Transitions
dell,Density,Greedy,0.12,Transitions
dell,Density,Greedy,0.18,Transitions
dell,Density,Greedy,0.12,Transitions
dell,Density,Greedy,0.14,Transitions
dell,CC,Greedy,42,Transitions
dell,CC,Greedy,42,Transitions
dell,CC,Greedy,20,Transitions
dell,CC,Greedy,62,Transitions
dell,CC,Greedy,42,Transitions
dell,CC,Greedy,67,Transitions
dell,CC,Greedy,44,Transitions
dell,CC,Greedy,33,Transitions
dell,CNC,Greedy,2.86,Transitions
dell,CNC,Greedy,2.86,Transitions
dell,CNC,Greedy,2.06,Transitions
dell,CNC,Greedy,3.35,Transitions
dell,CNC,Greedy,2.71,Transitions
dell,CNC,Greedy,3.87,Transitions
dell,CNC,Greedy,2.79,Transitions
dell,CNC,Greedy,2.6,Transitions
dell,CFC,Greedy,39,Transitions
dell,CFC,Greedy,35,Transitions
dell,CFC,Greedy,17,Transitions
dell,CFC,Greedy,55,Transitions
dell,CFC,Greedy,38,Transitions
dell,CFC,Greedy,65,Transitions
dell,CFC,Greedy,40,Transitions
dell,CFC,Greedy,31,Transitions
dell,Quality,Greedy,10.5,Transitions
dell,Quality,Greedy,11.4,Transitions
dell,Quality,Greedy,6.5,Transitions
dell,Quality,Greedy,14.57,Transitions
dell,Quality,Greedy,13.5,Transitions
dell,Quality,Greedy,13.2,Transitions
dell,Quality,Greedy,14.25,Transitions
dell,Quality,Greedy,9.2,Transitions
dell,Density,Hierarchical,0.06,Transitions
dell,Density,Hierarchical,0.05,Transitions
dell,Density,Hierarchical,0.13,Transitions
dell,Density,Hierarchical,0.11,Transitions
dell,Density,Hierarchical,0.09,Transitions
dell,Density,Hierarchical,0.1,Transitions
dell,Density,Hierarchical,0.12,Transitions
dell,Density,Hierarchical,0.13,Transitions
dell,CC,Hierarchical,32,Transitions
dell,CC,Hierarchical,71,Transitions
dell,CC,Hierarchical,55,Transitions
dell,CC,Hierarchical,9,Transitions
dell,CC,Hierarchical,2,Transitions
dell,CC,Hierarchical,6,Transitions
dell,CC,Hierarchical,30,Transitions
dell,CC,Hierarchical,16,Transitions
dell,CNC,Hierarchical,2.9,Transitions
dell,CNC,Hierarchical,2.49,Transitions
dell,CNC,Hierarchical,3.16,Transitions
dell,CNC,Hierarchical,1.53,Transitions
dell,CNC,Hierarchical,1.08,Transitions
dell,CNC,Hierarchical,1.36,Transitions
dell,CNC,Hierarchical,2.38,Transitions
dell,CNC,Hierarchical,1.94,Transitions
dell,CFC,Hierarchical,90,Transitions
dell,CFC,Hierarchical,69,Transitions
dell,CFC,Hierarchical,47,Transitions
dell,CFC,Hierarchical,7,Transitions
dell,CFC,Hierarchical,0,Transitions
dell,CFC,Hierarchical,4,Transitions
dell,CFC,Hierarchical,26,Transitions
dell,CFC,Hierarchical,14,Transitions
dell,Quality,Hierarchical,20.25,Transitions
dell,Quality,Hierarchical,10.67,Transitions
dell,Quality,Hierarchical,14.25,Transitions
dell,Quality,Hierarchical,4.5,Transitions
dell,Quality,Hierarchical,0,Transitions
dell,Quality,Hierarchical,2,Transitions
dell,Quality,Hierarchical,9.28,Transitions
dell,Quality,Hierarchical,5.5,Transitions
dell,Density,Genetic,0.14,Transitions
dell,Density,Genetic,0.12,Transitions
dell,Density,Genetic,0.11,Transitions
dell,Density,Genetic,0.08,Transitions
dell,Density,Genetic,0.14,Transitions
dell,Density,Genetic,0.13,Transitions
dell,Density,Genetic,0.09,Transitions
dell,Density,Genetic,0.13,Transitions
dell,CC,Genetic,38,Transitions
dell,CC,Genetic,130,Transitions
dell,CC,Genetic,95,Transitions
dell,CC,Genetic,45,Transitions
dell,CC,Genetic,78,Transitions
dell,CC,Genetic,93,Transitions
dell,CC,Genetic,69,Transitions
dell,CC,Genetic,38,Transitions
dell,CNC,Genetic,2.76,Transitions
dell,CNC,Genetic,4.49,Transitions
dell,CNC,Genetic,3.76,Transitions
dell,CNC,Genetic,2.38,Transitions
dell,CNC,Genetic,3.75,Transitions
dell,CNC,Genetic,3.88,Transitions
dell,CNC,Genetic,3.16,Transitions
dell,CNC,Genetic,2.68,Transitions
dell,CFC,Genetic,31,Transitions
dell,CFC,Genetic,128,Transitions
dell,CFC,Genetic,91,Transitions
dell,CFC,Genetic,43,Transitions
dell,CFC,Genetic,76,Transitions
dell,CFC,Genetic,91,Transitions
dell,CFC,Genetic,67,Transitions
dell,CFC,Genetic,33,Transitions
dell,Quality,Genetic,10.5,Transitions
dell,Quality,Genetic,26.25,Transitions
dell,Quality,Genetic,23.67,Transitions
dell,Quality,Genetic,21.25,Transitions
dell,Quality,Genetic,17.75,Transitions
dell,Quality,Genetic,21.34,Transitions
dell,Quality,Genetic,23,Transitions
dell,Quality,Genetic,10.4,Transitions
erp,Density,Greedy,0.01,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.01,Features
erp,Density,Hierarchical,0.03,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.02,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.01,Features
erp,CC,Greedy,189,Features
erp,CC,Greedy,66,Features
erp,CC,Greedy,97,Features
erp,CC,Greedy,83,Features
erp,CC,Greedy,225,Features
erp,CC,Hierarchical,89,Features
erp,CC,Hierarchical,138,Features
erp,CC,Hierarchical,189,Features
erp,CC,Hierarchical,188,Features
erp,CC,Hierarchical,153,Features
erp,CC,Genetic,1411,Features
erp,CC,Genetic,50,Features
erp,CC,Genetic,61,Features
erp,CC,Genetic,47,Features
erp,CC,Genetic,1411,Features
erp,CNC,Greedy,4.73,Features
erp,CNC,Greedy,1.48,Features
erp,CNC,Greedy,1.6,Features
erp,CNC,Greedy,1.48,Features
erp,CNC,Greedy,4.9,Features
erp,CNC,Hierarchical,2.13,Features
erp,CNC,Hierarchical,1.86,Features
erp,CNC,Hierarchical,2.08,Features
erp,CNC,Hierarchical,2.07,Features
erp,CNC,Hierarchical,2.06,Features
erp,CNC,Genetic,4.73,Features
erp,CNC,Genetic,1.48,Features
erp,CNC,Genetic,1.6,Features
erp,CNC,Genetic,1.48,Features
erp,CNC,Genetic,4.9,Features
erp,CFC,Greedy,187,Features
erp,CFC,Greedy,64,Features
erp,CFC,Greedy,95,Features
erp,CFC,Greedy,81,Features
erp,CFC,Greedy,223,Features
erp,CFC,Hierarchical,87,Features
erp,CFC,Hierarchical,136,Features
erp,CFC,Hierarchical,187,Features
erp,CFC,Hierarchical,186,Features
erp,CFC,Hierarchical,151,Features
erp,CFC,Genetic,1408,Features
erp,CFC,Genetic,48,Features
erp,CFC,Genetic,59,Features
erp,CFC,Genetic,45,Features
erp,CFC,Genetic,1492,Features
erp,Quality,Greedy,82.17,Features
erp,Quality,Greedy,71.79,Features
erp,Quality,Greedy,62.42,Features
erp,Quality,Greedy,72.71,Features
erp,Quality,Greedy,53.88,Features
erp,Quality,Hierarchical,45.94,Features
erp,Quality,Hierarchical,143.47,Features
erp,Quality,Hierarchical,82.17,Features
erp,Quality,Hierarchical,2.4,Features
erp,Quality,Hierarchical,21.09,Features
erp,Quality,Genetic,320,Features
erp,Quality,Genetic,64.28,Features
erp,Quality,Genetic,57.75,Features
erp,Quality,Genetic,49,Features
erp,Quality,Genetic,271.17,Features
erp,Density,Greedy,0.02,Transitions
erp,Density,Greedy,0.01,Transitions
erp,Density,Greedy,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,CC,Greedy,114,Transitions
erp,CC,Greedy,314,Transitions
erp,CC,Greedy,1405,Transitions
erp,CC,Hierarchical,330,Transitions
erp,CC,Hierarchical,183,Transitions
erp,CC,Hierarchical,188,Transitions
erp,CC,Genetic,1097,Transitions
erp,CC,Genetic,1032,Transitions
erp,CC,Genetic,1437,Transitions
erp,CNC,Greedy,2.03,Transitions
erp,CNC,Greedy,2.08,Transitions
erp,CNC,Greedy,4.88,Transitions
erp,CNC,Hierarchical,2.03,Transitions
erp,CNC,Hierarchical,1.93,Transitions
erp,CNC,Hierarchical,2.07,Transitions
erp,CNC,Genetic,4.56,Transitions
erp,CNC,Genetic,4.45,Transitions
erp,CNC,Genetic,4.64,Transitions
erp,CFC,Greedy,112,Transitions
erp,CFC,Greedy,312,Transitions
erp,CFC,Greedy,1403,Transitions
erp,CFC,Hierarchical,329,Transitions
erp,CFC,Hierarchical,181,Transitions
erp,CFC,Hierarchical,186,Transitions
erp,CFC,Genetic,1094,Transitions
erp,CFC,Genetic,1030,Transitions
erp,CFC,Genetic,1434,Transitions
erp,Quality,Greedy,72.67,Transitions
erp,Quality,Greedy,231.94,Transitions
erp,Quality,Greedy,287.9,Transitions
erp,Quality,Hierarchical,214.83,Transitions
erp,Quality,Hierarchical,171.41,Transitions
erp,Quality,Hierarchical,2.4,Transitions
erp,Quality,Genetic,238,Transitions
erp,Quality,Genetic,231.88,Transitions
erp,Quality,Genetic,2328,Transitions
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Greedy,0.01,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0,Features
farming,Density,Hierarchical,0.01,Features
farming,Density,Hierarchical,0.01,Features
farming,CC,Greedy,2620,Features
farming,CC,Greedy,2754,Features
farming,CC,Greedy,2671,Features
farming,CC,Greedy,2654,Features
farming,CC,Greedy,2621,Features
farming,CC,Greedy,2712,Features
farming,CC,Hierarchical,1089,Features
farming,CC,Hierarchical,822,Features
farming,CC,Hierarchical,470,Features
farming,CC,Hierarchical,834,Features
farming,CC,Hierarchical,3249,Features
farming,CC,Hierarchical,35,Features
farming,CNC,Greedy,4.69,Features
farming,CNC,Greedy,4.76,Features
farming,CNC,Greedy,4.66,Features
farming,CNC,Greedy,4.69,Features
farming,CNC,Greedy,4.68,Features
farming,CNC,Greedy,4.77,Features
farming,CNC,Hierarchical,1.99,Features
farming,CNC,Hierarchical,2,Features
farming,CNC,Hierarchical,2.01,Features
farming,CNC,Hierarchical,2.01,Features
farming,CNC,Hierarchical,4.68,Features
farming,CNC,Hierarchical,1.19,Features
farming,CFC,Greedy,2618,Features
farming,CFC,Greedy,2752,Features
farming,CFC,Greedy,2669,Features
farming,CFC,Greedy,2652,Features
farming,CFC,Greedy,2619,Features
farming,CFC,Greedy,2710,Features
farming,CFC,Hierarchical,1087,Features
farming,CFC,Hierarchical,820,Features
farming,CFC,Hierarchical,468,Features
farming,CFC,Hierarchical,832,Features
farming,CFC,Hierarchical,3247,Features
farming,CFC,Hierarchical,33,Features
farming,Quality,Greedy,713.49,Features
farming,Quality,Greedy,721.62,Features
farming,Quality,Greedy,714.25,Features
farming,Quality,Greedy,715.17,Features
farming,Quality,Greedy,710.65,Features
farming,Quality,Greedy,713.49,Features
farming,Quality,Hierarchical,108.75,Features
farming,Quality,Hierarchical,781.51,Features
farming,Quality,Hierarchical,399.5,Features
farming,Quality,Hierarchical,802.13,Features
farming,Quality,Hierarchical,866.2,Features
farming,Quality,Hierarchical,80,Features
